anomaly_pattern,anomaly_point,change_point,timestamp,value
0,0,0,15/10/2017 00:11:49,352
0,0,0,15/10/2017 02:55:27,352
0,0,0,15/10/2017 03:06:57,352
0,0,0,15/10/2017 03:25:01,352
0,0,0,15/10/2017 03:39:59,352
0,0,0,15/10/2017 03:59:44,352
0,0,0,15/10/2017 04:16:22,352
0,0,0,15/10/2017 04:39:21,363
0,0,0,15/10/2017 06:39:33,352
0,0,0,15/10/2017 07:07:02,352
0,0,0,15/10/2017 07:26:35,352
0,0,0,15/10/2017 10:15:12,352
0,0,0,15/10/2017 10:38:12,352
0,0,0,15/10/2017 14:07:58,352
0,0,0,15/10/2017 14:50:35,352
0,0,0,15/10/2017 16:08:31,341
0,0,0,15/10/2017 16:27:08,341
0,0,0,15/10/2017 16:48:33,341
0,0,0,15/10/2017 18:33:27,341
0,0,0,15/10/2017 19:11:10,341
0,0,0,15/10/2017 19:59:58,341
0,0,0,15/10/2017 20:49:09,341
0,0,0,15/10/2017 21:03:42,352
0,0,0,15/10/2017 22:37:37,341
0,0,0,15/10/2017 22:42:41,341
0,0,0,15/10/2017 22:58:22,341
0,0,0,15/10/2017 23:03:52,341
0,0,0,15/10/2017 23:51:50,352
0,0,0,16/10/2017 00:19:59,352
0,0,0,16/10/2017 00:26:27,341
0,0,0,16/10/2017 01:33:31,352
0,0,0,16/10/2017 01:56:20,341
0,0,0,16/10/2017 02:46:23,341
0,0,0,16/10/2017 04:24:45,341
0,0,0,16/10/2017 05:19:14,341
0,0,0,16/10/2017 05:28:02,341
0,0,0,16/10/2017 05:54:34,341
0,0,0,16/10/2017 08:51:26,341
0,0,0,16/10/2017 08:56:01,341
0,0,0,16/10/2017 10:53:08,352
0,0,0,16/10/2017 12:45:39,341
0,0,0,16/10/2017 13:20:13,341
0,0,0,16/10/2017 15:24:36,330
0,0,0,16/10/2017 16:01:17,330
0,0,0,16/10/2017 16:19:56,330
0,0,0,16/10/2017 16:23:06,330
0,0,0,16/10/2017 18:33:00,330
0,0,0,16/10/2017 19:12:42,341
0,0,0,16/10/2017 20:38:52,330
0,0,0,16/10/2017 21:03:33,341
0,0,0,16/10/2017 21:16:02,341
0,0,0,16/10/2017 21:53:52,341
0,0,0,16/10/2017 22:17:35,341
0,0,0,16/10/2017 22:59:36,341
0,0,0,16/10/2017 23:46:25,341
0,0,0,17/10/2017 00:37:28,341
0,0,0,17/10/2017 01:01:14,330
0,0,0,17/10/2017 01:25:42,330
0,0,0,17/10/2017 01:30:02,330
0,0,0,17/10/2017 02:36:31,341
0,0,0,17/10/2017 03:55:46,330
0,0,0,17/10/2017 05:20:04,330
0,0,0,17/10/2017 06:55:26,330
0,0,0,17/10/2017 07:26:06,330
0,0,0,17/10/2017 07:52:38,319
0,0,0,17/10/2017 09:12:20,319
0,0,0,17/10/2017 11:04:59,319
0,0,0,17/10/2017 12:26:44,319
0,0,0,17/10/2017 13:47:29,319
0,0,0,17/10/2017 14:54:42,319
0,0,0,17/10/2017 15:13:25,319
0,0,0,17/10/2017 15:14:47,319
0,0,0,17/10/2017 18:03:14,319
0,0,0,17/10/2017 18:36:48,330
0,0,0,17/10/2017 20:53:13,319
0,0,0,17/10/2017 23:43:51,319
0,0,0,18/10/2017 00:02:03,319
0,0,0,18/10/2017 00:26:49,319
0,0,0,18/10/2017 00:38:32,319
0,0,0,18/10/2017 01:35:01,319
0,0,0,18/10/2017 03:38:48,319
0,0,0,18/10/2017 05:30:41,319
0,0,0,18/10/2017 06:30:50,330
0,0,0,18/10/2017 07:34:14,319
0,0,0,18/10/2017 07:50:03,319
0,0,0,18/10/2017 08:50:52,319
0,0,0,18/10/2017 08:56:55,308
0,0,0,18/10/2017 10:47:58,308
0,0,0,18/10/2017 11:10:36,308
0,0,0,18/10/2017 13:06:27,308
0,0,0,18/10/2017 15:52:29,308
0,0,0,18/10/2017 15:52:44,308
0,0,0,18/10/2017 16:42:36,308
0,0,0,18/10/2017 17:34:13,319
0,0,0,18/10/2017 18:30:44,308
0,0,0,18/10/2017 20:30:56,308
0,0,0,18/10/2017 21:13:33,308
0,0,0,18/10/2017 22:19:35,319
0,0,0,18/10/2017 22:35:41,308
0,0,0,18/10/2017 22:46:15,308
0,0,0,18/10/2017 23:06:14,308
0,0,0,19/10/2017 02:57:46,308
0,0,0,19/10/2017 03:15:58,308
0,0,0,19/10/2017 03:30:19,308
0,0,0,19/10/2017 03:59:37,308
0,0,0,19/10/2017 06:27:48,308
0,0,0,19/10/2017 08:54:44,308
0,0,0,19/10/2017 10:14:08,308
0,0,0,19/10/2017 10:18:40,308
0,0,0,19/10/2017 10:28:21,308
0,0,0,19/10/2017 10:31:42,308
0,0,0,19/10/2017 13:44:57,297
0,0,0,19/10/2017 15:32:38,308
0,0,0,19/10/2017 16:12:00,297
0,0,0,19/10/2017 17:00:09,297
0,0,0,19/10/2017 17:03:05,308
0,0,0,19/10/2017 19:19:57,308
0,0,0,19/10/2017 19:25:21,297
0,0,0,19/10/2017 19:39:16,297
0,0,0,19/10/2017 20:25:37,297
0,0,0,19/10/2017 23:47:00,297
0,0,0,20/10/2017 00:04:56,297
0,0,0,20/10/2017 01:20:00,297
0,0,0,20/10/2017 03:46:35,297
0,0,0,20/10/2017 04:05:55,297
0,0,0,20/10/2017 04:30:24,297
0,0,0,20/10/2017 07:36:50,297
0,0,0,20/10/2017 08:03:25,297
0,0,0,20/10/2017 10:11:56,297
0,0,0,20/10/2017 10:25:37,308
0,0,0,20/10/2017 10:39:49,297
0,0,0,20/10/2017 11:48:48,297
0,0,0,20/10/2017 13:29:32,297
0,0,0,20/10/2017 15:37:27,297
0,0,0,20/10/2017 17:09:52,297
0,0,0,20/10/2017 18:00:26,286
0,0,0,20/10/2017 18:17:01,297
0,0,0,20/10/2017 18:46:35,297
0,0,0,20/10/2017 19:01:57,286
0,0,0,20/10/2017 19:43:16,286
0,0,0,20/10/2017 19:45:26,286
0,0,0,20/10/2017 20:02:47,286
0,0,0,20/10/2017 20:49:49,286
0,0,0,20/10/2017 21:12:52,297
0,0,0,20/10/2017 22:42:22,286
0,0,0,20/10/2017 22:44:36,286
0,0,0,21/10/2017 00:18:28,297
0,0,0,21/10/2017 00:22:30,286
0,0,0,21/10/2017 04:13:08,286
0,0,0,21/10/2017 07:50:04,286
0,0,0,21/10/2017 08:37:00,286
0,0,0,21/10/2017 09:05:35,286
0,0,0,21/10/2017 10:51:35,286
0,0,0,21/10/2017 14:00:48,286
0,0,0,21/10/2017 14:07:46,286
0,0,0,21/10/2017 14:19:41,286
0,0,0,21/10/2017 14:46:21,286
0,0,0,21/10/2017 14:54:11,286
0,0,0,21/10/2017 15:51:58,286
0,0,0,21/10/2017 17:10:19,286
0,0,0,21/10/2017 18:08:26,275
0,0,0,21/10/2017 18:19:57,275
0,0,0,21/10/2017 18:39:53,275
0,0,0,21/10/2017 20:10:37,275
0,0,0,21/10/2017 21:12:17,275
0,0,0,21/10/2017 22:17:42,275
0,0,0,22/10/2017 01:25:04,275
0,0,0,22/10/2017 03:15:11,275
0,0,0,22/10/2017 04:40:00,275
0,0,0,22/10/2017 05:40:25,275
0,0,0,22/10/2017 06:25:19,275
0,0,0,22/10/2017 07:07:53,275
0,0,0,22/10/2017 07:08:56,275
0,0,0,22/10/2017 10:45:46,275
0,0,0,22/10/2017 11:20:07,275
0,0,0,22/10/2017 11:42:00,275
0,0,0,22/10/2017 14:31:29,275
0,0,0,22/10/2017 14:33:02,275
0,0,0,22/10/2017 15:44:27,275
0,0,0,22/10/2017 16:21:36,275
0,0,0,22/10/2017 16:52:58,275
0,0,0,22/10/2017 17:50:07,286
0,0,0,22/10/2017 18:23:33,275
0,0,0,22/10/2017 18:46:21,264
0,0,0,22/10/2017 19:39:05,264
0,0,0,22/10/2017 19:42:45,264
0,0,0,22/10/2017 20:36:39,264
0,0,0,23/10/2017 00:23:21,275
