anomaly_pattern,anomaly_point,change_point,timestamp,value
0,0,0,15/10/2017 01:23:43,713.0434783
0,0,0,15/10/2017 02:55:28,713.0434783
0,0,0,15/10/2017 05:18:11,704.3478261
0,0,0,15/10/2017 07:44:06,704.3478261
0,0,0,15/10/2017 08:15:48,704.3478261
0,0,0,15/10/2017 10:51:17,695.6521739
0,0,0,15/10/2017 11:38:39,695.6521739
0,0,0,15/10/2017 12:10:59,695.6521739
0,0,0,15/10/2017 13:44:34,695.6521739
0,0,0,15/10/2017 16:14:27,686.9565217
0,0,0,15/10/2017 16:39:59,686.9565217
0,0,0,15/10/2017 17:19:28,686.9565217
0,0,0,15/10/2017 18:35:24,686.9565217
0,0,0,15/10/2017 19:14:17,686.9565217
0,0,0,15/10/2017 20:32:40,678.2608696
0,0,0,15/10/2017 21:27:50,678.2608696
0,0,0,15/10/2017 22:06:32,678.2608696
0,0,0,15/10/2017 22:58:50,669.5652174
0,0,0,15/10/2017 23:05:52,669.5652174
0,0,0,16/10/2017 00:45:11,669.5652174
0,0,0,16/10/2017 01:27:57,678.2608696
0,0,0,16/10/2017 02:42:26,669.5652174
0,0,0,16/10/2017 03:23:29,678.2608696
0,0,0,16/10/2017 04:05:41,660.8695652
0,0,0,16/10/2017 05:42:26,660.8695652
0,0,0,16/10/2017 05:56:14,660.8695652
0,0,0,16/10/2017 06:16:23,660.8695652
0,0,0,16/10/2017 08:36:10,652.173913
0,0,0,16/10/2017 09:57:25,652.173913
0,0,0,16/10/2017 10:30:00,652.173913
0,0,0,16/10/2017 11:20:15,643.4782609
0,0,0,16/10/2017 12:29:03,643.4782609
0,0,0,16/10/2017 17:16:14,643.4782609
0,0,0,16/10/2017 18:51:35,643.4782609
0,0,0,16/10/2017 20:11:32,643.4782609
0,0,0,16/10/2017 22:58:44,652.173913
0,0,0,16/10/2017 23:47:10,643.4782609
0,0,0,17/10/2017 00:46:30,643.4782609
0,0,0,17/10/2017 00:46:51,643.4782609
0,0,0,17/10/2017 00:59:27,643.4782609
0,0,0,17/10/2017 03:59:47,643.4782609
0,0,0,17/10/2017 04:09:57,643.4782609
0,0,0,17/10/2017 04:24:23,634.7826087
0,0,0,17/10/2017 06:46:37,634.7826087
0,0,0,17/10/2017 07:02:04,634.7826087
